Joel H. Saltz,456,,,,,,,,,,,,,
David J. DeWitt,455,,,,,,,,,,,,,
Richard J. Lipton,455,,,,,,,,,,,,,
Mary Shaw,454,,,,,,,,,,,,,
et al.,454,,,,,,,,,,,,,
Marlon Dumas,453,,,,,,,,,,,,,
Jim Gray 0001,452,,,,,,,,,,,,,
Mateo Valero,452,,,,,,,,,,,,,
Paul Erdös,452,,,,,,,,,,,,,
Yoshua Bengio,452,,,,,,,,,,,,,
Luc Moreau 0001,451,,,,,,,,,,,,,
V. S. Subrahmanian,451,,,,,,,,,,,,,
Axel Polleres,450,,,,,,,,,,,,,
Manuel Wimmer,450,,,,,,,,,,,,,
Sushil Jajodia,450,,,,,,,,,,,,,
Moni Naor,447,,,,,,,,,,,,,
Avigdor Gal,445,,,,,,,,,,,,,
Geoffrey C. Fox,445,,,,,,,,,,,,,
Kenneth A. Ross,445,,,,,,,,,,,,,
Joan Feigenbaum,444,,,,,,,,,,,,,
Magdalena Balazinska,444,,,,,,,,,,,,,
Stefan Decker,444,,,,,,,,,,,,,
Tiziana Catarci,444,,,,,,,,,,,,,
Uriel Feige,444,,,,,,,,,,,,,
Thomas A. Henzinger,443,,,,,,,,,,,,,
Michael Mitzenmacher,442,,,,,,,,,,,,,
Dimitris N. Metaxas,441,,,,,,,,,,,,,
Rafail Ostrovsky,441,,,,,,,,,,,,,
Surajit Chaudhuri,441,,,,,,,,,,,,,
Tom M. Mitchell,441,,,,,,,,,,,,,
Deborah Estrin,440,,,,,,,,,,,,,
Herbert Edelsbrunner,440,,,,,,,,,,,,,
Oded Goldreich 0001,439,,,,,,,,,,,,,
Michael Kaufmann 0001,436,,,,,,,,,,,,,
Ronald L. Graham,436,,,,,,,,,,,,,
Elisabeth André,435,,,,,,,,,,,,,
Günter Rote,435,,,,,,,,,,,,,
Hari Balakrishnan,433,,,,,,,,,,,,,
Pieter Abbeel,432,,,,,,,,,,,,,
Michael E. Saks,431,,,,,,,,,,,,,
Edward A. Fox,430,,,,,,,,,,,,,
Holger Giese,430,,,,,,,,,,,,,
Ling Shao 0001,430,,,,,,,,,,,,,
Ronald Fagin,430,,,,,,,,,,,,,
Cláudio T. Silva,428,,,,,,,,,,,,,
Danny Dolev,428,,,,,,,,,,,,,
Hanspeter Pfister,428,,,,,,,,,,,,,
Nicholas R. Jennings,427,,,,,,,,,,,,,
Michael Luck,426,,,,,,,,,,,,,
Philip H. S. Torr,426,,,,,,,,,,,,,
Zoubin Ghahramani,426,,,,,,,,,,,,,
Alex Pentland,425,,,,,,,,,,,,,
Katherine A. Yelick,425,,,,,,,,,,,,,
Gaurav S. Sukhatme,424,,,,,,,,,,,,,
Manuela M. Veloso,424,,,,,,,,,,,,,
Ruzena Bajcsy,423,,,,,,,,,,,,,
Diego Calvanese,422,,,,,,,,,,,,,
Gregory D. Hager,421,,,,,,,,,,,,,
Marc Pollefeys,421,,,,,,,,,,,,,
Norman W. Paton,421,,,,,,,,,,,,,
Sanjit A. Seshia,420,,,,,,,,,,,,,
Alexander S. Szalay,419,,,,,,,,,,,,,
Bernhard Rumpe,419,,,,,,,,,,,,,
Jure Leskovec,419,,,,,,,,,,,,,
Myra Spiliopoulou,419,,,,,,,,,,,,,
Prosenjit Bose,419,,,,,,,,,,,,,
Alex Bateman,418,,,,,,,,,,,,,
Andrew M. Odlyzko,417,,,,,,,,,,,,,
John E. Hopcroft,417,,,,,,,,,,,,,
Michel Dumontier,417,,,,,,,,,,,,,
Mihalis Yannakakis,417,,,,,,,,,,,,,
Martin L. Kersten,416,,,,,,,,,,,,,
Sören Auer,416,,,,,,,,,,,,,
Barry W. Boehm,415,,,,,,,,,,,,,
Dieter Fensel,415,,,,,,,,,,,,,
Louis-Philippe Morency,415,,,,,,,,,,,,,
Ming-Hsuan Yang 0001,415,,,,,,,,,,,,,
Subhash Suri,415,,,,,,,,,,,,,
Ajith Abraham,414,,,,,,,,,,,,,
Alan F. Smeaton,414,,,,,,,,,,,,,
Ewan Birney,414,,,,,,,,,,,,,
Alexander J. Smola,412,,,,,,,,,,,,,
Amit Sahai,412,,,,,,,,,,,,,
Hans W. Guesgen,412,,,,,,,,,,,,,
Helmut Krcmar,412,,,,,,,,,,,,,
Bart Preneel,411,,,,,,,,,,,,,
Gustavo Alonso,411,,,,,,,,,,,,,
Mary Czerwinski,411,,,,,,,,,,,,,
David R. Karger,409,,,,,,,,,,,,,
Mohammad Taghi Hajiaghayi,409,,,,,,,,,,,,,
Wilhelm Schäfer,409,,,,,,,,,,,,,
Dinesh Manocha,408,,,,,,,,,,,,,
Peer Bork,408,,,,,,,,,,,,,
Barbara Pernici,407,,,,,,,,,,,,,
Guillermo Sapiro,407,,,,,,,,,,,,,
Muriel Médard,407,,,,,,,,,,,,,
Sandra E. Orchard,406,,,,,,,,,,,,,
Mark Sanderson,405,,,,,,,,,,,,,
Andrew Chi-Chih Yao,404,,,,,,,,,,,,,
C. Lee Giles,402,,,,,,,,,,,,,
Dan Roth,402,,,,,,,,,,,,,
Ian Horrocks,402,,,,,,,,,,,,,
Stanley B. Zdonik,400,,,,,,,,,,,,,
Daniel Weiskopf,399,,,,,,,,,,,,,
Gareth J. F. Jones,398,,,,,,,,,,,,,
John Shawe-Taylor,398,,,,,,,,,,,,,
Maria-Esther Vidal,398,,,,,,,,,,,,,
Peter Stone,398,,,,,,,,,,,,,
Wolfram Burgard,398,,,,,,,,,,,,,
David Peleg,397,,,,,,,,,,,,,
Paul G. Spirakis,397,,,,,,,,,,,,,
Xin Yao 0001,397,,,,,,,,,,,,,
Yonina C. Eldar,397,,,,,,,,,,,,,
Avrim Blum,396,,,,,,,,,,,,,
Karl Aberer,396,,,,,,,,,,,,,
Luciano Baresi,396,,,,,,,,,,,,,
Adi Shamir,395,,,,,,,,,,,,,
David E. Culler,395,,,,,,,,,,,,,
Haim Kaplan,394,,,,,,,,,,,,,
Rodrigo Lopez,394,,,,,,,,,,,,,
D. Louis Collins,393,,,,,,,,,,,,,
Grzegorz Rozenberg,393,,,,,,,,,,,,,
Karin Verspoor,392,,,,,,,,,,,,,
